name,reason_for_failure
ZW-1146B_S109,fail=N_content:0.92
ZW-1162B_S111,fail=N_content:0.97
ZW-1173B_S113,fail=N_content:0.98
ZW-1177B_S114,fail=N_content:0.94
ZW-1184B_S115,fail=N_content:0.64
ZW-1186B_S175,fail=N_content:1.0
ZW-1187B_S176,fail=N_content:1.0
ZW-1188B_S116,fail=N_content:1.0
ZW-1190B_S118,fail=N_content:0.91
ZW-1195B_S121,fail=N_content:0.95
ZW-1196B_S122,fail=N_content:0.79
ZW-1199B_S123,fail=N_content:0.76
ZW-1201B_S127,fail=N_content:0.72
ZW-1203B_S129,fail=N_content:0.88
ZW-1204B_S130,fail=N_content:0.62
ZW-1469B_S134,fail=N_content:0.89
ZW-1477B_S137,fail=N_content:1.0
ZW-1480B_S135,fail=N_content:1.0
ZW-1481B_S142,fail=N_content:0.85
ZW-1482B_S132,fail=N_content:1.0
ZW-1484B_S139,fail=N_content:1.0
ZW-1485B_S141,fail=N_content:0.97
ZW-1486B_S140,fail=N_content:0.97
ZW-1488B_S133,fail=N_content:1.0
ZW-4300_S155,fail=N_content:1.0
ZW-5186_S181,fail=N_content:0.52
ZW-528_S96,fail=N_content:1.0
ZW-557_S169,fail=N_content:1.0
ZW-561_S170,fail=N_content:1.0
ZW-684B_S178,fail=N_content:0.77
ZW-721B_S177,fail=N_content:0.9
ZW-7328_S165,fail=N_content:1.0
ZW-8408_S97,fail=N_content:1.0
ZW-9134_S108,fail=N_content:1.0
